SentId	Sentences	Class
148679	"As examples, our experts rarely use dofetilide for paroxysmal AF and infrequently choose dronedarone for persistent AF due to reduced efficacy compared with amiodarone."	0
148680	The presence of vagally-mediated AF.	0
148681	"The 2010 European Society of Cardiology and the 2006 American College of Cardiology/American Heart Association/European Society of Cardiology guidelines suggest that, because of its long-lasting anticholinergic activity, disopyramide may be considered in patients with vagally-induced AF (eg, occurring most often in athletic young men with slow heart rates during rest or sleep), as long as the patient does not have prostatism or glaucoma."	1
148682	The combination of disopyramide and either a beta blocker or a calcium channel blocker must be used cautiously because of the additive negative inotropic effects.	0
148683	"If disopyramide cannot be given or is not tolerated, flecainide and amiodarone represent the sequential alternatives."	0
148684	Propafenone is not recommended because its weak intrinsic beta blocking activity may aggravate vagally-induced paroxysmal AF.	0
148685	Our experts use disopyramide cautiously due to concern for proarrhythmia.	0
148686	"For patients with adrenergically-mediated AF (eg, occurring during exercise or other activity), we suggest beta blockers as first-line therapy, followed by sotalol and amiodarone."	1
148687	"Antiarrhythmic drugs are associated with a potential for serious adverse side effects, particularly the induction of proarrhythmia."	0
148688	"Thus, they should be prescribed only by practitioners familiar with their use."	0
148689	Patients should be fully informed of both the benefits and risk associated with the use of these drugs.	0
148690	"As the expectation of antiarrhythmic therapy is to reduce the frequency and duration of episodes, improve quality of life, and prevent hospitalization, a recurrence of AF does not necessarily denote a failure of the medication or mandate a change to a different antiarrhythmic drug."	0
148691	Patients without structural heart disease include those with hypertension who do not have left ventricular hypertrophy.	1
148692	"The author and reviewers of this topic generally select flecainide as the first antiarrhythmic drug for these patients due to its relatively good side effect profile, efficacy, and ease of use."	0
148693	"In these patients, flecainide, propafenone, amiodarone, dronedarone, sotalol, and dofetilide are superior to placebo for maintaining sinus rhythm."	0
148694	"For those patients in whom flecainide will not be used as the preferred agent, the following points can influence the choice of antiarrhythmic drug in patients without structural heart disease: In the Canadian Trial of Atrial fibrillation, AFFIRM, and the SAFE-T randomized trials, amiodarone was more effective than flecainide, propafenone, or sotalol (which have nearly equivalent efficacy to each other), but has a significantly higher rate of adverse side effects."	1
148695	"In a meta-analysis of trials where the effect of amiodarone versus dronedarone was estimated with the use of indirect comparison and normal logistic meta-analysis models, amiodarone was found to be more effective in maintaining sinus rhythm, but at the expense of greater drug discontinuation secondary to adverse events."	0
148696	Both amiodarone and dronedarone are associated with significant side effects.	0
148697	We suggest carefully discussing these with the patient prior to initiating therapy.	0
148698	"In the EMERALD trial, Dofetilide had a somewhat better efficacy than sotalol."	0
148699	Propafenone may have less proarrhythmia than flecainide.	0
148700	"Some cardiologists prefer to use low-dose amiodarone (200 mg per day) in preference to flecainide, sotalol, or dronedarone for two principal reasons: greater efficacy than sotalol and dronedarone, and a very low incidence of torsades de pointes."	0
148701	"In addition, since amiodarone has beta blocking and calcium channel blocking activity, the ventricular rate is usually slower and better tolerated if AF does recur."	0
148702	"If amiodarone is used for rhythm control, the need for additional medications to control rate (eg, beta blockers or calcium channel blockers) may be decreased."	0
148703	"Despite these advantages, low-dose amiodarone still has appreciable toxicity, including thyroid disease, hepatic dysfunction, lung disease, neurologic abnormalities, and bradycardia."	0
148704	"Amiodarone, sotalol, and dofetilide are the most commonly recommended first-line drugs in patients with structural heart disease."	1
148705	Our authors and reviewers prefer either dronedarone or sotalol to amiodarone and dofetilide.	0
148706	"Dronedarone is easier to use than sotalol (continuous monitoring of initiation required), but is less efficacious."	0
148707	"These drugs (with the exception of dronedarone) were used for initial therapy in almost 70 percent of patients in AFFIRM, 88 percent of whom had organic heart disease and/or hypertension."	1
148708	"Amiodarone was significantly more effective than sotalol in the CTAF, AFFIRM, and SAFE-T trials."	0
148709	"However, in SAFE-T, sotalol was as effective as amiodarone in the subgroup of patients with coronary heart disease."	1
148710	"In patients with coronary heart disease who do not have heart failure, sotalol, dronedarone, dofetilide, and amiodarone are acceptable choices."	1
148711	We prefer sotalol due to its better extracardiac side effect profiles.	0
148712	Flecainide and propafenone are contraindicated in this population.	0
148713	"In the Cardiac Arrhythmia Suppression Trial (CAST) of patients with drug-suppressible ventricular premature beats in the year following a myocardial infarction, flecainide increased mortality compared to placebo."	1
148714	"Although propafenone was not used in CAST and may not have the same potential for proarrhythmia as flecainide and encainide, it cannot be recommended in patients with underlying heart disease."	1
148715	"The extension of this concern to structural heart disease other than coronary artery disease stems in part from the flecainide clinical and safety database, which was used in a retrospective study demonstrating that the presence of structural heart disease including valvular heart disease, congenital heart disease, and cardiomyopathies lead to an alarming increase in proarrhythmia and death."	0
148716	"Amiodarone and dofetilide, are used in patients with AF and HF or those with a left ventricular ejection fraction less than 35 percent."	1
148717	Our authors and reviewers are more comfortable using dofetilide in this setting with an implantable defibrillator in place or in younger patients with less severe impairment of left ventricular systolic function.	1
148718	This issue is discussed in detail elsewhere.	0
148719	"Sotalol, propafenone, and flecainide should not be used in patients with heart failure, due to studies showing an increase in mortality with these agents."	1
148720	"Patients with significant left ventricular hypertrophy (defined as left ventricular wall thickness greater 1.4 cm for the purposes of this discussion) due to hypertension, hypertrophic cardiomyopathy, or aortic stenosis have underlying subendocardial ischemia and electrophysiologic abnormalities."	1
148721	These increase the risk for proarrhythmia with antiarrhythmic agents.	0
148722	"Sotalol, flecainide and propafenone are thought to have a significant arrhythmic risk in patients with left ventricular hypertrophy (LVH)."	1
148723	Dronedarone has been evaluated in patients with LVH and is thought to be relatively safe.	1
148724	Amiodarone is another therapeutic option.	0
148725	Some patients are refractory to individual antiarrhythmic agents plus an AV nodal blocker or develop side effects on doses necessary for arrhythmia prevention.	0
148726	"Although some have suggested that combination antiarrhythmic drug therapy (eg, a class IC agent with sotalol or amiodarone, often in lower doses) may be an alternative, there are limited data to support such an approach and the patient may be exposed to a greater risk of proarrhythmia and other side effects."	0
148727	"As a result, combination antiarrhythmic drug therapy is not recommended."	0
148728	"Such patients can be treated with a rate control strategy or referred for nonpharmacologic therapy to prevent recurrent AF including surgery (such as the maze operation), radiofrequency ablation (such as pulmonary vein isolation), or an implantable atrial defibrillator."	0
148729	Many patients begun on antiarrhythmic drug therapy should be hospitalized for continuous electrocardiographic monitoring due to a 10 to 15 percent incidence of adverse cardiac events during the initiation of therapy.	1
148730	The two complications of greatest concern are bradycardia and proarrhythmia.	0
148731	"Other adverse cardiac events can include significant QT prolongation, heart failure, rapid ventricular rate, conduction abnormalities, hypotension, and stroke."	0
148732	The risk is greatest in the first 24 hours and in patients with a prior myocardial infarction.	1
148733	"Outpatient initiation of antiarrhythmic drug therapy with the following agents may be considered: Flecainide or propafenone in patients in sinus rhythm who have no underlying structural heart disease, normal baseline QT intervals, and no profound bradycardia or suspected sinus or AV node dysfunction."	1
148734	"Amiodarone or dronedarone in selected patients who have no other risk factors for torsades de pointes (eg, hypokalemia, hypomagnesemia) or sinus node dysfunction or AV conduction disease."	1
148735	Dronedarone and amiodarone are the only two drugs that can be initiated in outpatients while in atrial fibrillation.	1
148736	"Patients with an implantable cardioverter-defibrillator (ICD) represent another group in which outpatient initiation of therapy can be tried, since the ICD provides protection against the risks associated with bradyarrhythmias and tachyarrhythmias."	1
148737	"However, one should be cognizant of the potential effects of antiarrhythmic drugs on ventricular defibrillation threshold and ventricular tachycardia cycle length, which could influence the efficacy of ICD therapy."	0
148738	The initiation of antiarrhythmic drugs in patients with paroxysmal AF while they are in sinus rhythm is also associated with some risk.	1
148739	"In a review of 409 outpatient initiation trials for a history of recurrent AF or atrial flutter, adverse cardiac events occurred in 17 (4.5 percent);"	1
148740	"these included three deaths, three permanent pacemakers for bradycardia, and 11 dose reductions for bradycardia."	0
148741	"Inpatient initiation with continuous telemetry of higher-risk drugs such as dofetilide and sotalol is typically done over a course of three days, which encompasses five half-lives allowing for achievement of steady-state plasma concentrations."	1
148742	Recurrent AF should not necessarily be labeled as treatment failure.	0
148743	"Some patients will elect to continue drug therapy (and, in some cases, occasional cardioversion) because the arrhythmia burden has been substantially reduced as evidenced by episodes that are less frequent, shorter, or associated with milder symptoms."	0
148744	Nonpharmacologic therapies are another option in such patients.	0
148745	"If a patient has unacceptable recurrent AF on one antiarrhythmic drug, the drug is discontinued and another (and on rare occasion a third) agent is tried."	0
148746	"The starting and maintenance doses for amiodarone, dronedarone, propafenone, flecainide, sotalol, disopyramide, and dofetilide are found in respective LexiComp drug monographs available in UpToDate."	0
148747	"Many factors including age, sex, weight, renal or hepatic function, and characteristics on the electrocardiogram influence the starting dose for many of these."	0
148748	The use of antiarrhythmic drugs is associated with possible life-threatening side effects.	0
148749	The greatest concerns with these agents are proarrhythmia (and consequent tachyarrhythmia) and bradycardia.	0
148750	"Patients should be instructed to report symptoms suggestive of the development of drug related arrhythmias, such as syncope, lightheadedness or dizzy spells, or worsening exercise intolerance."	0
148751	"A 2012 meta-analysis of 56 studies (20,771 patients) compared one or more antiarrhythmic drugs to control or to each other."	0
148752	"Compared to controls, the use of the class IA antiarrhythmics quinidine and disopyramide (odds ratio 2.39, 95% CI 1.03-5.59) or sotalol (2.47, 95% CI 1.2-5.05) was associated with increased all-cause mortality, whereas the use of amiodarone, dronedarone, and dofetilide was not (odds ratios were not calculated for flecainide or propafenone)."	0
148753	"All antiarrhythmics studied showed increased pro-arrhythmic effects (counting both bradyarrhythmias and tachyarrhythmias attributable to treatment), with the exceptions of amiodarone, dronedarone, and propafenone."	0
148754	"All of the antiarrhythmic drugs used to maintain sinus rhythm have the potential to increase ectopy or induce or aggravate monomorphic ventricular tachycardia (VT), torsades de pointes, or ventricular fibrillation (VF);"	0
148755	this is referred to as proarrhythmia.	0
148756	"In addition to its baseline potential to predispose the patient to proarrhythmia, a drug that is initially safe may become proarrhythmic when the patient develops coronary heart disease or heart failure or is treated with other medications that in combination may be arrhythmogenic."	1
148757	"Thus, the patient should be alerted to the potential significance of symptoms such as syncope and dyspnea and warned about the use of noncardiac drugs that can prolong the QT interval."	0
148758	"We agree with the following recommendations made according to drug class in the 2006 American College of Cardiology/American Heart Association/European Society of Cardiology guideline: With type IC drugs, QRS widening should not be permitted to exceed 150 percent of the baseline QRS duration."	0
148759	Exercise testing may detect QRS widening that occurs only at rapid heart rates (use-dependent conduction slowing).	0
148760	Exercise testing is also a useful way to screen for exercise-induced proarrhythmia and is typically performed one to two weeks after drug initiation.	0
148761	"For type IA or type III drugs, with the possible exception of amiodarone, the corrected QT interval in sinus rhythm should remain below 520 milliseconds."	0
148762	More specific and conservative recommendations are available for dofetilide in the package insert.	0
148763	"During follow-up, serum creatinine, potassium, and magnesium concentrations should be monitored periodically because proarrhythmia is increased by renal insufficiency, which can lead to drug accumulation, hyperkalemia, and hypermagnesemia."	0
148764	The presence of renal insufficiency warrants dose reduction or cessation of sotalol and dofetilide.	0
148765	"In comparison, amiodarone is metabolized in the liver and dose adjustment is probably necessary in patients with hepatic dysfunction."	1
148766	"Amiodarone and dronedarone can cause both sinus bradycardia and AV nodal block, with an overall incidence of bradycardic events of about 5 percent."	0
148767	"Sotalol, like other beta blockers, can also cause bradycardia."	0
148768	"In some cases, permanent pacemaker placement is necessary to permit continued use of these agents."	0
148769	"Our authors and reviewers have differing thresholds for the use of ambulatory monitoring to screen for proarrhythmia and bradycardia, ranging from screening in the highest risk cases only to screening in everyone."	0
148770	"Some experts suggest screening all patients with an ambulatory event monitor for at least two weeks after initiation of therapy, looking for QT interval prolongation or bradyarrhythmias."	1
148771	The basis for this recommendation is that many events occur after three days.	0
148772	"For those experts who are more selective based on patient risk, high-risk is defined as baseline bradycardia or borderline QT prolongation, heart failure, or systolic left ventricular dysfunction."	0
148773	"Others perform routine monitoring when sotalol, flecainide, or propafenone are chosen."	0
148774	Dofetilide must be initiated in a setting with continuous monitoring.	0
148775	"For those patients who are not referred for ambulatory monitoring, we suggest that a 12-lead electrocardiogram be obtained after the initiation of antiarrhythmic drug therapy."	1
148776	"Based on concerns about drug related arrhythmias and the observation that the atrial action potential normalizes after two to four weeks of sinus rhythm (after AF), the concept that short-term therapy might be as effective and safer than long-term therapy has been proposed."	0
148777	"This concept was tested in the Flec-SL non-inferiority trial, which randomly assigned 554 patients with persistent AF and who were intended to undergo cardioversion to either four weeks or six months of flecainide (200 to 300 mg per day)."	1
148778	All patients had successful restoration of sinus rhythm and were then followed with daily telemetric electrocardiography (and Holter monitoring whenever AF was noted on two ECGs) for six months.	0
148779	"The primary outcome of time to persistent AF or death occurred in 46 and 39 percent of patients, respectively, which did not meet the criteria of non-inferiority."	0
148780	"In addition, a post-hoc analysis of patients who had not reached the primary endpoint in the first month found long-term therapy to be superior (Kaplan-Meier estimate of difference 14.3 percent; hazard ratio 0.3; p = 0.0001)."	1
148781	We do not consider short-term therapy appropriate for most patients with persistent AF.	1
148782	"Patients with severe HF (generally those with NYHA class III or IV HF, or those who have been hospitalized with HF in the past four weeks) or those with an ejection fraction of <35 percent should not receive dronedarone."	1
148783	"The Permanent Atrial fibriLLAtion outcome Study (PALLAS) was designed to test the hypothesis that dronedarone would improve major outcomes in 10,000 patients with permanent AF, over 70 percent of whom had New York Heart Association heart failure class I to III or left ventricular systolic dysfunction at baseline."	1
148784	"The rationale was that patients with permanent AF, which affects up to 50 percent of patients with AF, have an increased risk of adverse cardiovascular outcomes including death and myocardial infarction as well as systemic embolization."	1
148785	The ATHENA trial showed a significant reduction in cardiovascular events with dronedarone in patients with paroxysmal or persistent AF.	1
148786	Patients in PALLAS were treated with standard therapies for AF and then randomly assigned to dronedarone or placebo.	1
148787	"The study was stopped early (3236 patients enrolled), after a significantly increased risk (Hazard Ratio 2.29, 95% CI 1.34-3.94) of cardiovascular events (cardiovascular death, myocardial infarction, stroke and systemic embolism) was observed in the dronedarone arm."	0
148788	"The individual secondary end points of stroke, death from cardiovascular causes, and hospitalization for heart failure were also significantly increased in the dronedarone group."	0
148789	The European Medicines Agency and the United States Food and Drug Agency (USFDA) have advised against the use of dronedarone in patients with permanent AF.	1
148790	"In addition, the USFDA now recommends that people taking the drug should have an electrocardiogram every three months to make sure that AF has not become permanent."	1
148791	"For patients taking dronedarone, routine monitoring of lung and liver function is not mandated by the USFDA;"	1
148792	"however, periodic monitoring may be reasonable."	0
148793	Our recommendations for the use of antiarrhythmic drugs to maintain sinus rhythm in patients with AF are generally in agreement with the 2006 American College of Cardiology/American Heart Association/European Society of Cardiology (ACC/AHA/ESC) guidelines on AF and the 2010 European Society of Cardiology guidelines on AF.	1
148794	"The 2006 American College of Cardiology/American Heart Association/European Society of Cardiology (ACC/AHA/ESC) guidelines recommend propafenone, flecainide, and sotalol as first-line drugs to maintain sinus rhythm after cardioversion in patients without structural heart disease;"	1
148795	amiodarone and dofetilide can also be given as second-line agents.	0
148796	The 2010 ESC guidelines and the ACC/AHA/Heart Rhythm Society (HRS) 2011 focused update on atrial fibrillation management have added dronedarone as another alternative first-line agent.	0
148797	"These drugs are generally better tolerated and perhaps safer than the class IA drugs, such as quinidine, which were widely used in the past."	0
148798	"Because of concerns about toxicity, the 2006 ACC/AHA/ESC guidelines recommend that the use of amiodarone as a first-line therapy for maintenance of sinus rhythm should be reserved for patients with heart failure, moderate-to-severe systolic dysfunction, or hypertension with substantial left ventricular hypertrophy."	1
148799	"UpToDate offers two types of patient education materials, ""The Basics"" and ""Beyond the Basics."""	0
148800	"The Basics patient education pieces are written in plain language, at the 5th to 6th grade reading level, and they answer the four or five key questions a patient might have about a given condition."	1
148801	"These articles are best for patients who want a general overview and who prefer short, easy-to-read materials."	1
148802	"Beyond the Basics patient education pieces are longer, more sophisticated, and more detailed."	0
148803	These articles are written at the 10th to 12th grade reading level and are best for patients who want in-depth information and are comfortable with some medical jargon.	1
148804	Here are the patient education articles that are relevant to this topic.	0
148805	We encourage you to print or e-mail these topics to your patients.	0
148806	"(You can also locate patient education articles on a variety of subjects by searching on ""patient info"" and the keyword(s) of interest.)."	0
148807	Basics topic.	0
148808	"For those patients with atrial fibrillation (AF) in whom a rhythm-control strategy is chosen, the principal goal is to reduce symptoms by decreasing the frequency and duration of episodes."	1
148809	"Prior to selecting and initiating antiarrhythmic drug therapy, issues of precipitating factors, anticoagulation, and rate control should be addressed."	0
148810	"The following points should be kept in mind when considering antiarrhythmic drug therapy to maintain sinus rhythm in patients with AF: Beta blockers are modestly effective in maintaining sinus rhythm and can be tried first in selected patients, such as those without structural heart disease who are concerned about proarrhythmia."	1
148811	"Compared to placebo, amiodarone, sotalol, dofetilide, dronedarone, flecainide, and propafenone are effective for the maintenance of sinus rhythm, but maintenance rates at one year are significantly less than 75 percent."	0
148812	Amiodarone is consistently more effective than the other antiarrhythmic drugs.	0
148813	The primary-efficacy endpoint of most clinical trials involving antiarrhythmic drugs has been time to first recurrence of AF or percent of patients in sinus rhythm at the end of one year.	1
148814	"However, there is great variation in efficacy of antiarrhythmic drugs from patient to patient."	0
148815	"Although a drug may be shown to significantly prolong the time to recurrence of AF in a clinical trial, individual patients may experience no benefit or experience a dramatic reduction in AF frequency."	0
148816	"Also, a single recurrence of AF on an antiarrhythmic drug does not necessarily indicate treatment failure or require a change in therapy."	0
148817	"In addition to less-than-optimal efficacy, serious drug-related adverse side effects limit the use of these drugs."	0
148818	Antiarrhythmic drug therapy should be prescribed only by practitioners familiar with their use.	0
148819	Patients should be fully informed of both the benefits and risks associated with the use of these drugs.	0
148820	"Based upon the potential for drug toxicity in the form of induced bradycardia or tachycardia, many patients will need to be hospitalized for continuous electrocardiographic monitoring."	0
148821	Dofetilide must be initiated in a setting with continuous monitoring.	0
148822	We make the following recommendations for the choice of antiarrhythmic drug to maintain sinus rhythm in patients with AF.	1
148823	"For patients with no structural heart disease and no apparent risk for drug-induced bradycardia or tachycardia, we suggest flecainide as the preferred antiarrhythmic drug."	1
148824	"Amiodarone, dofetilide, dronedarone, propafenone, or sotalol may be used, with the latter two chosen more often by our authors and reviewers."	0
148825	Practitioners should choose only those agents with which they have significant familiarity.	0
148826	"For patients with coronary artery disease who do not have advanced heart failure, we suggest dronedarone or sotalol in preference to amiodarone."	1
148827	Amiodarone is a reasonable choice in patients who prefer its greater efficacy despite its worse extracardiac side-effect profile.	1
148828	"For patients with heart failure, we suggest amiodarone in preference to dofetilide."	1
148829	"Flecainide, propafenone, dronedarone, and sotalol are contraindicated in these patients."	0
148830	"For patients with left ventricular hypertrophy, either amiodarone or dronedarone is generally preferred to other antiarrhythmic agents."	1
148831	"Our authors and reviewers have differing approaches, with some choosing amiodarone more often and others choosing dronedarone more often."	0
148832	"After the initiation of antiarrhythmic drug therapy, screening for drug-associated arrhythmia with ambulatory monitoring should be considered, particularly for patients at high risk of drug-induced arrhythmia."	1
148833	"This includes those with baseline bradycardia or borderline QT prolongation, heart failure, or systolic left ventricular dysfunction."	0
153955	"Heart failure is estimated to affect 12,000 to 35,000 children below the age of 19 years in the United States each year."	1
153956	It results from any structural or functional cardiac disorder that impairs the ability of the ventricle(s) to fill with or eject blood.	0
153957	The management of children with heart failure will be presented here.	1
153958	"The etiology, presentation, diagnosis, and initial evaluation of the pediatric patient with heart failure are discussed separately."	1
153959	"Because heart failure is a common clinical condition in adults, there is a substantial amount of evidence-based data based on large, placebo-controlled clinical trials that guide management."	0
153960	"Over the past 20 years, management of heart failure in adults has shifted based on observations that heart failure and left ventricular (LV) systolic dysfunction activate sympathetic nervous and renin-angiotensin systems."	0
153961	"This response is initially physiologic (and compensatory), but persistent activation is maladaptive and contributes to progressive LV dilation and dysfunction (remodeling) and worsening heart failure."	0
153962	Data from clinical trials have shown that drugs targeted to block the effects of neuro-hormonal activation not only reverse LV remodeling but also improve survival in patients with heart failure.	1
153963	"However, the ability to conduct similar trials in children is not possible because the much lower prevalence rate of pediatric heart failure does not allow for a sufficient number of patients to replicate these studies."	0
153964	"As a result, treatment of heart failure in children is based on results provided by adult studies."	0
153965	This approach is justifiable because children in heart failure have neuro-hormonal changes and systemic ventricular remodeling similar to that described in adults with heart failure.	1
153966	"In 2004, the International Society of Heart and Lung Transplantation (ISHLT) published guidelines for the treatment of heart failure in children primarily based on the adult literature."	1
153967	"Modifications for specific pediatric diagnoses were recommended based on expert consensus that was largely informed by clinical experience, small case series, and physiological studies."	0
153968	The management approach for this review is based on these guidelines and advances in heart failure therapy since the publication of these guidelines.	0
153969	"Therapeutic goals for children with heart failure are to relieve symptoms, decrease morbidity (including the risk of hospitalization), slow the progression of heart failure, and improve patient survival."	1
153970	The management of pediatric heart failure is dependent on its etiology and severity.	0
153971	Management begins with a thorough assessment of the underlying cause of heart failure.	0
153972	The causes of pediatric heart failure can be divided into pathophysiologic categories ).	0
153973	This categorization helps guide the approach to management.	0
153974	Heart failure due to ventricular pump dysfunction - Ventricular pump dysfunction and reduced ventricular contractility lead to impaired ejection of blood from the ventricle.	0
153975	Ventricular systolic dysfunction may occur in children with structurally normal hearts or in those with congenital heart disease.	1
153976	Medical pharmacologic therapy is generally the primary intervention.	0
153977	"Drug choice is dependent on the severity of heart failure and may include angiotensin-converting enzyme (ACE) inhibitors or angiotensin II receptor blockers (ARB), diuretics, aldosterone antagonists, digoxin, and beta-blockers."	0
153978	"In patients with advanced heart failure refractory to pharmacologic therapy, interventions such as positive pressure ventilation, mechanical circulatory support, and heart transplantation may be considered."	1
153979	"Heart failure due to volume overload with preserved ventricular pump function - Volume overload (increased preload) may occur due to a significant left-to-right shunt from the systemic to the pulmonary circulation (eg, ventricular septal defect or atrioventricular canal defects) or, less commonly, due to valvular insufficiency."	0
